Epochs,Optimizer,Activation_Function,Train_Loss,Train_Accuracy,Train_Precision,Train_Recall,Val_Loss,Val_Accuracy,Val_Precision,Val_Recall
10,Adam,relu,0.054224483719805164,0.987063467502594,0.2503778338432312,0.9992856979370117,0.0007332050136938051,1.0,0.317068874835968,1.0
5,RMSprop,relu,0.08282421665585606,0.9773015975952148,0.25254732370376587,0.9992856979370117,0.16158092810451308,0.9566666483879089,0.2931615710258484,0.9987037181854248
1,Adadelta,relu,3.2404646828061057,0.1046825423836708,0.1027492955327034,0.5137301683425903,2.4049118674463696,0.12962962687015533,0.10137929022312164,0.6492592692375183
9,Adadelta,relu,3.136403315407889,0.11388888955116272,0.10714682936668396,0.5355555415153503,2.2448302679591707,0.18333333730697632,0.11980003118515015,0.7322221994400024
1,Adagrad,relu,2.721019654472669,0.16571427881717682,0.12727989256381989,0.641349196434021,1.9468544052706824,0.29018518328666687,0.1559055596590042,0.8670370578765869
2,Adadelta,relu,3.218991469485419,0.1108730137348175,0.10346139222383499,0.5180952548980713,2.3777270403173234,0.13388888537883759,0.10422731935977936,0.6364814639091492
2,RMSprop,relu,0.2398513375105159,0.9253968000411987,0.23266658186912537,0.997936487197876,0.09784039672077698,0.970370352268219,0.25682488083839417,1.0
4,Adagrad,relu,1.8602277863593328,0.3576984107494354,0.17078876495361328,0.8516666889190674,1.081970471640428,0.647777795791626,0.1935214400291443,0.9868518710136414
2,Adam,relu,0.30333374543558983,0.9125396609306335,0.22824054956436157,0.997936487197876,0.04093626761847797,0.9837037324905396,0.2416647970676422,1.0
3,RMSprop,relu,0.13966545460778954,0.9600793719291687,0.2396327406167984,0.9984126687049866,0.016380619875407218,0.9957407116889954,0.2807820439338684,1.0
4,RMSprop,relu,0.10162479343354269,0.9728571176528931,0.24543681740760803,0.9988889098167419,0.026445590125316207,0.993148148059845,0.3227155804634094,1.0
3,Adam,relu,0.17267473095229693,0.9534127116203308,0.2322160303592682,0.9984920620918274,0.05785409156346254,0.9822221994400024,0.27484220266342163,0.9998148083686829
5,Adadelta,relu,3.1865581872917357,0.10849206149578094,0.10488580912351608,0.5259523987770081,2.3114072961939707,0.15962962806224823,0.11150495707988739,0.6874074339866638
2,Adagrad,relu,2.2641504558778944,0.2532539665699005,0.15096479654312134,0.7606348991394043,1.5429179632001453,0.42722222208976746,0.186013326048851,0.9412962794303894
8,Adam,relu,0.050158991011561564,0.9864285588264465,0.2460489571094513,0.9996031522750854,0.003175381610152625,0.9994444251060486,0.2997668385505676,1.0
9,Adagrad,relu,1.3060017511958169,0.5343650579452515,0.1938960701227188,0.9494444727897644,0.6239391808708509,0.8540740609169006,0.21338845789432526,0.9940740466117859
5,Adagrad,relu,1.7251363017019772,0.3893650770187378,0.17711599171161652,0.8788889050483704,0.9640436127781868,0.6916666626930237,0.20110701024532318,0.9890740513801575
3,Adagrad,relu,2.024585936324937,0.31214284896850586,0.16291441023349762,0.8166666626930237,1.254412544104788,0.5498148202896118,0.19175802171230316,0.9814814925193787
8,RMSprop,relu,0.058745903669187964,0.9861904978752136,0.26861944794654846,0.9992856979370117,0.007521846376543964,0.9979629516601562,0.3697110712528229,1.0
4,Adam,relu,0.1396083639144698,0.9589682817459106,0.23549219965934753,0.9990476369857788,0.02478351506589307,0.9901852011680603,0.2780495285987854,1.0
10,Adadelta,relu,3.1049766732113704,0.11944444477558136,0.1086500883102417,0.5430952310562134,2.2246543533272214,0.19611111283302307,0.12215857207775116,0.7424073815345764
7,Adagrad,relu,1.4916263479562033,0.4694444537162781,0.18746782839298248,0.925079345703125,0.7762193041543166,0.7927777767181396,0.20753693580627441,0.9912962913513184
8,Adagrad,relu,1.4088179039813222,0.5024603009223938,0.18997935950756073,0.9350000023841858,0.7287684515118599,0.8057407140731812,0.2123420536518097,0.9927777647972107
6,Adagrad,relu,1.583506504552705,0.4392063617706299,0.18318670988082886,0.9039682745933533,0.8745327701999082,0.734074056148529,0.20856094360351562,0.989814817905426
10,Adagrad,relu,1.253918052074455,0.5561110973358154,0.19680459797382355,0.9561111330986023,0.5426568013926347,0.8837037086486816,0.21685919165611267,0.994259238243103
1,Adam,relu,1.45284252473641,0.5076190233230591,0.18682409822940826,0.8815873265266418,0.16345927420382697,0.9718518257141113,0.22754088044166565,1.0
8,Adadelta,relu,3.148412498831749,0.1153174638748169,0.10646718740463257,0.533730149269104,2.260497482948833,0.17129629850387573,0.11780929565429688,0.7198148369789124
5,Adam,relu,0.09698501402564857,0.9721428751945496,0.23781731724739075,0.9992856979370117,0.006203859870877042,0.9983333349227905,0.2652970850467682,0.9996296167373657
7,RMSprop,relu,0.05328829081405448,0.9856349229812622,0.26364055275917053,0.9993650913238525,0.003759980587606214,0.9994444251060486,0.36955925822257996,1.0
4,Adadelta,relu,3.1969970451933998,0.10674603283405304,0.10511237382888794,0.5270634889602661,2.3343320942587322,0.15037037432193756,0.10917243361473083,0.6627777814865112
3,Adadelta,relu,3.202881427322115,0.1111111119389534,0.10345372557640076,0.519444465637207,2.356372113029162,0.14185185730457306,0.10598570853471756,0.659074068069458
1,RMSprop,relu,1.2580781706032298,0.5829365253448486,0.19317637383937836,0.8960317373275757,0.2339089046439363,0.9209259152412415,0.26028722524642944,0.9968518614768982
7,Adadelta,relu,3.14317315249216,0.11365079134702682,0.10670915246009827,0.5342063307762146,2.2752170910437903,0.17870371043682098,0.11511203646659851,0.7068518400192261
9,Adam,relu,0.055597711344030576,0.986984133720398,0.24950966238975525,0.9995238184928894,0.0026684377741478076,0.9992592334747314,0.316511332988739,1.0
